Watchlist,,,,,,,,,,,,,,,,,,,,,,,,,,Holiday Calender Data,,,,,Stock Market Trading and Investment Quotes,,,Lot Size,,,
"""NSE All Stock"" List",,"""NSE Cash"" List",,"""Nifty Indices"" List",,"""Nifty50""
Stocks List",,"""Futures""
Stocks List",,"""Nifty 500"" List",,"""Nifty 500
Multicap
50:25:25"" List",,"""All ETFs"" List",,"""Gold ETFs"" List",,"""Silver ETFs"" List",,"""My Favourite""
Watchlist-1",,"""My Holdings""
Watchlist-2",,"""Penny Stocks""
Watchlist-3",,Status (2026),Date,Day,Occasion,,Quotation,Author,,Symbol,Jul-26,Aug-26,Sep-26
RPEL,,TECHM,,,,,,HDFCBANK,,RAMCOCEM,,GODFRYPHLP,,ALPHA,,,,,,,,,,VASCONEQ,,Close,03/05/22,Tuesday,Id-Ul-Fitr (Ramzan ID),,,,,GVT&D,125,125,125
MPHASIS,,INVPRECQ,,,,,,CDSL,,JSWENERGY,,CLEAN,,EBBETF0431,,,,,,,,,,PVP,,Close,09/08/22,Tuesday,Moharram,,,,,HAL,150,150,150
INVPRECQ,,MONTECARLO,,,,,,PREMIERENE,,STARHEALTH,,METROBRAND,,LIQUIDADD,,,,,,,,,,KELLTONTEC,,Close,15/08/22,Monday,Independence Day,,,,,HAVELLS,500,500,500
LTM,,RPEL,,,,,,GODREJCP,,VOLTAS,,JKCEMENT,,LIQUIDSHRI,,,,,,,,,,DWARKESH,,Close,31/08/22,Wednesday,Ganesh Chaturthi,,,,,HCLTECH,400,400,400
TALBROAUTO,,ANGELONE,,,,,,BDL,,JKCEMENT,,HUDCO,,LIQUID1,,,,,,,,,,SIGACHI,,Close,05/10/22,Wednesday,Dussehra,,,,,HDFCAMC,300,300,300
HSCL,,MPHASIS,,,,,,PNBHOUSING,,TMPV,,NH,,LIQUIDPLUS,,,,,,,,,,VAKRANGEE,,Close,24/10/22,Monday,Diwali-Laxmi Pujan*,,,,,HDFCBANK,650,650,650
HCL-INSYS,,E2E,,,,,,IDFCFIRSTB,,SBIN,,EICHERMOT,,LIQUIDBETF,,,,,,,,,,CCCL,,Close,26/10/22,Wednesday,Diwali-Balipratipada,,,,,HDFCLIFE,1100,1100,1100
AAATECH,,VENUSREM,,,,,,NUVAMA,,EICHERMOT,,HINDUNILVR,,CASHIETF,,,,,,,,,,MUKKA,,Close,08/11/22,Tuesday,Gurunanak Jayanti,,,,,HEROMOTOCO,150,150,150
E2E,,IZMO,,,,,,LT,,MARICO,,JUBLFOOD,,HDFCLIQUID,,,,,,,,,,AHCL,,,,,,,,,,HINDALCO,700,700,700
VENUSREM,,INSPIRISYS,,,,,,COFORGE,,JUBLFOOD,,MARICO,,AONELIQUID,,,,,,,,,,DISHTV,,Status (2021),Date,Day,Occasion,,,,,HINDPETRO,2025,2025,2025
